id, body, author
29, رهبری و یادگیری به یکدیگر وابسته هستند., جان اف. کندی
30, ایده ها آسان هستند؛ اجرای آنها دشوار است., گای کاوازاکی
31, یگانه فردی که سرنوشت از شما خواهد ساخت همانی است که خودتان تصمیم می‌گیرید باشید., رالف والدو امرسون
32, "بشریت باید جنگ را ریشه کن کند، پیش از آنکه جنگ، بشریت را ریشه کن کند.", جان اف کندی
33, "هیچ چیز ترسناک‌‌تر و شرم‌آورتر از این نیست که چوپان برای پاس داشتن گله‌، سگ‌های بی‌تربیتی نگاه دارد که به سبب نابسامانی یا گرسنگی یا هرزگی، آماده‌ی آزار گوسفندان باشند و به جای صفت سگ، صفت گرگ از خود نشان دهند.", افلاطون
34, "کسی که روح شادی دارد، همیشه وسیله خوبی برای شادمانی و خنده پیدا می کند.", آرتور شوپنهاور
35, "روزی یک آتنی نزد پیشگوی معبد دلفی رفت و از آپولون پرسید که داناترین مرد آتن کیست؟ پیشگو گفته بود که سقراط داناترین مرد آتن است. وقتی این حرف به گوش سقراط رسید تعجب کرد، چون همیشه می‌گفت چیز زیادی نمی‌داند. اما وقتی با افرادی که به نظر می‌رسید از او باهوش تر و داناترند حرف می‌زد، می‌دید که حق با پیشگوی معبد دلفی است. فرق سقراط با بقیه این بود که آنها دلشان به دانش اندکشان خوش بود و حتی با اینکه چیزی بیشتر از سقراط نمی‌دانستند خود را دانا می‌پنداشتند. خوب معلوم است کسی که از دانسته هایش راضی باشد، نمی تواند فیلسوف شود.", یاستین گوردر
36, "« تو نخواهی کشت» تنها درباره کشتن همنوع صدق نمی کند، بلکه تمام موجودات زنده را در بر می گیرد؛ و این فرمان مدت ها پیش از اینکه از کوه سینا بیان شود در سینه آدمی حک شده بود.", لئو تولستوی
37, اگر هنرمندان را بنگرید می بینید که از آنان کسانی بلندآوازه تر شده اند که شاگردی مکتب عشق را کرده اند و آن کس که دستش به دامان عشق رسید در تاریکی و گمنامی فرو نمی غلتد, افلاطون
38, "چه شادی هایی که زیر پای انسانها سرکوب شدند، زیرا بیشتر افراد به آسمان توجه دارند و آنچه را که زیر پاهایشان است نادیده می گیرند.", یوهان ولفگانگ گوته
39, "ما باید با حماقت، شکست و شرارت هر انسانی با گذشت بسیار رفتار کنیم. در نظر داشته باشیم که آنچه ما پیش از این در خود داریم به طور ساده شکست ها، حماقت ها و شرارت های خودمان است. زیرا اینها همه شکست های نوع بشر هستند که ما نیز به آن تعلق داریم و بر این اساس ما شکست های یکسانی داریم که در درون خود دفن کرده ایم. نباید به خاطر این بدی ها که صرفا در همان لحظه خاص در ما پدیدار نشده اند، نسبت به دیگران خشمگین شویم.", آرتور شوپنهاور
40, "شرکت های بزرگی که به دردسر می‌افتند آنهایی هستند که به جای اینکه از بزرگی شان بهره‌ بگیرند، می‌کوشند آن را کنترل کنند.", جک ولش
41, "زندگی شاد غیرممکن است؛ بهترین زندگی که بشر می تواند به دست آورد، زندگی شجاعانه است.", آرتور شوپنهاور
42, "پاسکال به تأکید می‌گفت که ارضای همه‌ی نیازهای انسان چیز خوبی نیست. آرمانشهری که در آن زندگی می‌کنیم در عمل می‌تواند همه‌ی نیازها را برآورده کند. چنین آرمانشهری، به جز معنا، چیزی کم ندارد. ولی همین که به دنبال معنا بگردیم دیوارهایش ترک برمی‌دارد. ژولین گراک در رمان شگفت انگیز ساحل سرت 951) فروپاشی یک جامعه‌ی راکد و حرکت آن به سوی جنگ را چنین توضیح داد: «ملال بر همه‌ی چیزهایی که مدت مدیدی بود که بیش از حد خوب بودند نازل شد.» و تُکویل از اندوه عجیبی نوشت که اغلب بر ساکنان کشورهای مردم سالاری که در میانه‌ی رفاه و وفور زندگی می کنند مستولی می شود. ملال، مرز آرمانشهر است. یک آرمانشهر هرگز نمی‌تواند کاملا تحقق یابد، چون این به معنای ملال است، و این ملال هر آرمانشهری را از درون می‌خورد.", لارس اسوندسن
43, "در عجبم از آدمی، که خویش را بیش از همه دوست می دارد، با این حال نظر خود نسبت به خویش را از نظر دیگران نسبت به خویش، سبکتر می شمرد.", مارکوس اورلیوس
44, تمام تعقلات و اندیشه‌های مرد به یک محبت زن نمی‌ارزد., فرانسوا ولتر
45, "عشق و اشتیاق، بال‌های پرنده بلندپرواز خلاقیت است.", یوهان ولفگانگ گوته
46, قسمت‌هایی از انجیل را که نمی‌فهمم ناراحتم نمی‌کنند. قسمت‌هایی از آن را که می‌فهمم عذابم می‌دهند., مارک تواین
47, "هیچ چیز جز قالب ظاهری، که درد و رنج، خود را در آن آشکار می سازد، بر پایه تصادف قرار ندارد و رنج کنونی ما جایگاهی را پر می کند...که بدون آن با برخی رنجهای دیگر اشغال خواهد شد. اگر چنین اندیشه ای اعتقاد زندگی ما گردد، امکان دارد میزان قابل توجهی آرامش خویشتندارانه در ما ایجاد کند.", آرتور شوپنهاور
48, "نیچه می گوید این وظیفه انسان نمو یافته است که به سرنوشت خویش، ژرف بنگرد. او می دانست که نگاه ژرف، اغلب موجب درد است، ولی باور داشت که باید خود را برای تحمل رنج حقیقت بپروریم. خیره شدن به حقیقت آسان نیست. نیچه نوشته است:«این کار همواره چشم انسان را می آزارد و در پایان، بیش از آنچه می خواسته، می یابد.» در نهایت، نجات بخش بزرگ همانا رنج است که به ما رخصت می دهد ژرف ترین ژرفاهای مان را بیابیم. دومین جمله ماندگار او این است که: «آن چه مرا نکشد، قوی ترم می سازد»", اروین دیوید یالوم
49, "من همیشه امپراتورم و در آینده وقتی نام لرد باتهورد، رئیس الوزرای شما نگلیس) را فراموش کردند و نامهای دیگر که امروز جلوه می‌کند ازبین رفت، در قرنهای آینده من هنوز امپراتور خواهم بود! وجسم من در اختیار شماست ولی روح من آزاد است و تا پایان زندگی همان همّت و فعالیت دورهٔ فرماندهی اروپای مرا دارد و آن اروپا در آتیه در مورد رفتاری که نسبت به من شده‌است قضاوت خواهد کرد و شرمساری آن نصیب انگلستان خواهد شد. بد بختی و تیره روزی بنوبهٔ خود دارای مفاخر و محامد است. اگر من روی تخت سلطنت و در میان طرفداران خود می‌مردم ، چون حریفی نداشتم، دنیا آنطور که باید مرا نمی‌شناخت و تاریخ من برای او حکم رمز معما را داشت، ولی در سایهٔ این بدبختی، مرا آنطور که هستم مورد قضاوت قرار خواهند داد و اسارت سنت هلن حضور تاریخی مرا تصفیه و تکمیل خواهد کرد و این سنگستان تیره ، پایگاه رفیعی خواهد شد که مرا به تمام عالم نشان خواهد داد.", ناپلئون بناپارت
50, "شور و شهوت جنسی دلیل جنگ است و مقصود صلح؛ شالوده‌ی هر آنچه جدی‌ست و هدف هر آنچه شوخی، سرچشمه‌ی پایان ناپذیر ذکاوت، کلید همه‌ی کنایه‌ها و تلمیح‌ها، معنای تمامی اشارات رازآلود... تنها به این دلیل است که بر ژرف ترین جدیت‌ها بنا نهاده شده ... ولی تمامی این‌ها با این واقعیت سازگار است که شور و شهوت جنسی هسته‌ی اصلی اراده‌ی زندگی‌ست و در نتیجه، عصاره‌ی همه‌ی امیال؛ به همین دلیل اندام‌های جنسی را در این متن، کانون اراده خواهم خواند.", آرتور شوپنهاور
51, "مفهوم زندگی، تلاش دائمی است، پس هیچ‌گاه آرام و ساکن ننشین.", چارلز داروین
52, "من آدم خوشبینی هستم؛ فکر نمی کنم اگر جز این باشم، حال و روز ام بهتر از این باشد.", وینستون چرچیل
53, "از دیروز بیاموز، در امروز زندگی کن و به فردا امیدوار باش. نکته مهم آنست که از پرسشگری باز نایستی.", آلبرت اینشتین
54, "کتاب‌هایی را که دنیا «غیراخلاقی» معرفی می‌کند، کتاب‌هایی هستند که ننگ دنیا را برملا کرده‌اند.", اسکار وایلد
55, "چرا از آخرین روز زندگیت می هراسی؟ بیش از روزهای دیگر در مرگت سهیم نیست. آخرین گام خستگی نمی آورد، تنها خستگی را آشکار می کند.", میشل دو مونتینی
56, "بارها از دیدن اینکه مبلغین مسیحی، که در ظاهر عشق و محبت و صلح و گذشت و شفقت را به تمام مردم عالم توصیه می‌کنند، خود با کینه و بغض عجیبی با هم می‌جنگند و به سخت‌ترین وضعی همدیگر را دشمن می‌دارند دچار تعجب می‌شوم، دلیل آنها بر دین خود رفتار و عملشان است نه فضایلی که تبلیغ می‌کنند.", اسپینوزا
57, جهالت بیش از دانایی احساس امنیت ایجاد می‌کند., چارلز داروین
58, "یک‌نفر بدبین، به‌مشکلات ِ سعادتی که نصیبش شده می‌اندیشد، یک‌نفر خوش‌بین در جستجوی سعادتی است که در هر مشکل نهفته‌است.", وینستون چرچیل
59, "انسانهایی که از اهمیت خویش برای بشریت داد سخن سر می دهند، در زمینه حقوق مدنی و در پایبندی به قراردادها و قول ها، وجدانی ضعیف دارند.", فردریش نیچه
60, "هفت بار روح خویش را تحقیر کردم: نخستین بار هنگامی بود که برای رسیدن به بلندمرتبگی، خود را فروتن نشان می‌داد. دومین بار آن هنگام که در مقابل فلج‌ها می‌لنگید. سومین بار آن زمان که در انتخاب خویش بین آسان و سخت، آسان را برگزید. چهارمین بار وقتی‌که مرتکب گناهی شد و به خویشتن تسلی داد که دیگران هم گناه می‌کنند. پنجمین بار آنگاه‌که به علت ضعف و ناتوانی از کاری سر باززد و صبر را حمل بر قدرت و توانایی‌اش دانست. ششمین بار زمانی‌که چهره‌ای زشت را تحقیر کرد در حالی که نمی‌دانست آن چهره، یکی از نقاب‌های خود اوست. و هفتمین‌بار وقتی که زبان به مدح و ستایش گشود و انگاشت که فضیلت است.", جبران خلیل جبران
61, "ما ندرتأ در باره آنچه که داریم فکر می‌کنیم، درحالیکه پیوسته در اندیشه چیزهائی هستیم که نداریم.", آرتور شوپنهاور
62, "برای ازدواج، تلاش کن. اگر همسرت خوب باشد، خوشبخت می شوی و اگر همسرت بد باشد، فیلسوف می شوی.", سقراط
63, "ما دارای روح آسمانی و علو طبعی نیستیم که قادر باشیم دشمنان خود را دوست بداریم، اما دست کم می توانیم برای سلامت و نشاط خود، آنها را ببخشیم و خطاهایشان را فراموش کنیم.", دیل کارنگی
64, "اغراق، چون حقیقتی است که صبر خود را از دست داده‌است.", جبران خلیل جبران
65, "متأسفانه بسیاری از مردم پس از این‌که به دامان شوربختی درافتادند، به سعادت از دست‌رفته خویش پی می‌برند.", برتراند راسل
66, "هرکس خدایی از هر قسم داشته است که او را همراهی کند، هرگز ژرفای تنهایی مرا در نخواهد یافت.", فردریش نیچه
67, "اگر آزادی واجد معنی باشد، معنی آن بهره مندی از حق گفتن چیزهایی است که بقیه مردم دوست ندارند، بشنوند.", جورج اورول
68, "نیاز دولت‌ها به پنهان کردن اسرار دولتی امری بدیهی است. اما نیاز حکومت به فریب دادن مردمش به نظر من بسیار اندک و قریب به صفر است و سرابی اخلاقی است. درست وقتی که فکر می‌کنیم دلیلی برای آن یافته‌ایم، می‌فهمیم واقعیت جور دیگری است و صدمه‌ای که آشکار شدن فریب حکومت‌ها به بار می‌آورد به کلی جبران ناپذیر است.به گمان من گفتن دروغ‌های ضروری برای هر کسی امری نادر است الا جاسوس ها - یعنی، &nbsp;اگر بپذیریم که جاسوسی در جهان امروز امری ضروری است. می‌گویند جاسوس ها باید حتی به دوستان و خانواده‌شان هم دروغ بگویند. من مطمئنم که خودم حاضر نیستم چنین زندگی‌ای داشته باشم، هر قدر هم که هدف خیر و خوب باشد.", سام هریس
69, "آخرین پاداشِ مُرده، این است که دیگر نمی میرد.", فردریش نیچه
70, "ای پیر زنده دل، از گذشت عمر افسرده مشو؛ هر چند زمانه نیز موی تو را سپید کرده، اما هنوز نیروی عشق که زاینده ی جوانی است از دلت بیرون نرفته است.", یوهان ولفگانگ گوته
71, «گاندی ثابت کرد که امکان‌پذیر است کسی برای مردمش مبارزه کند و پیروز شود بدون اینکه حتی یک لحظه احترامِ دنیا را از دست دهد.», آلبر کامو
72, "مسیحیان فعلی تعصب کمتری دارند و این کمی تعصب مربوط به خود آنها نیست، بلکه بایستی از نسل‌ها آزاد اندیشانی سپاسگزار باشند که از زمان رنسانس تا به امروز تلاش کرده‌اند و مسیحیان را از بسیاری از عقاید خود شرمنده کرده‌اند.", برتراند راسل
73, "آدم‌ها، اول جوان‌ها را باوجود این‌که هم‌دیگر را دوست ندارند، به‌عقد ِ هم درمی‌آورند و بعد از این‌که آن‌ها نمی‌توانند یکدیگر را تحمل کنند، تعجب می‌کنند... آخر چطور می‌توان با کسی زندگی کرد بدون این‌که عاشق‌اش بود؟", لئو تولستوی
74, چون کاری برای تو مشکل است فکر نکن که برای بقیه غیر ممکن است., مارکوس اورلیوس
75, "بزرگترین خردمندی آنست که لذت بردن از لحظه حال را بالاترین مقصود زندگی قرار دهیم، زیرا این تنها واقعیت هستی است و جز این همه بازی فکر و اندیشه است. اما می توانیم آن را بزرگترین حماقت خود نیز بخوانیم، چرا که در این حالت لحظه ای کوتاه به وجود می آید و به سرعت یک رویا ناپدید می شود و هرگز ارزش تلاشی جدی را ندارد.", آرتور شوپنهاور
76, درختان شعری هستند که زمین بر پهنهٔ آسمان می‌نویسد. ما آن‌ها را قطع می‌کنیم و از آن‌ها کاغذ می‌سازیم بلکه تهی بودن خود را بر آن ثبت کنیم., جبران خلیل جبران
77, باید زیاد مطالعه کنید تا بدانید که هیچ نمی‌دانید., شارل دو مونتسکیو
78, روزانه یک کار نیک انجام دهید و پس از انجام دادن یک کار خوب لبخند بزنید و شاهد لبخند دیگران باشید., دیل کارنگی
79, عاشق شدن آسان است. بخش دشوار یافتن کسی است که درک‌تان کند., برتراند راسل
80, "مانند آسمان باش، یا با خورشید و روز یا با  ماه و شب، با هر دو نمی توان.", ویلیام شکسپیر
81, "اگر بازی، قانون نداشته باشد، کودکان هم به بی‌قانونی خو می‌گیرند و زمانی که بزرگ شدند، مردان وظیفه‌شناس و درستکار نخواهند بود.", افلاطون
82, "گاهی بیمارانی را که درگیر تصمیم گیری های دشوار شده اند با نقل قول از کتاب سقوطِ آلبرکامو که همیشه خودم را عمیقا تحت تاثیر قرار داده، تشویق می کنم:«باور کن، چیزی که از دست دادنش برای انسان از همه سخت تر است، درست همان چیزی است که آن را نمی‌خواهد.»", اروین دیوید یالوم
83, صداقت اولین فصل از کتاب خرد است., توماس جفرسون
84, "برای نیچه ای که یک بار گفته:«این زندگی بود؟ باشد، پس یک بار دیگر!» و برای ابَرانسانش که اگر فرصت زندگی بارها و بارها و تا ابد به یک شکل به او پیشکش شود، قادر است بگوید:«آری، آری، به من دهیدش. این زندگی را خواهم گرفت و درست به همان شکل خواهم زیست.»، زندگی چیز دیگری است. ابَر انسانِ نیچه، به سرنوشتش عشق می ورزد، او فردی است که بر نیاز تخدیرکننده ی خویش به هدفی ماورایی چیره می شود. به گفته نیچه، هرگاه انسانی چنین کند، به ابَر انسان بدل خواهد شد، به روحی فلسفی که نماینده ی مرحله ی والاتر تکامل بشری است.", اروین دیوید یالوم
85, اگر تمام شب برای دیدن خورشید گریه کنی لذت دیدن ستاره ها را از دست خواهی داد!, ویلیام شکسپیر
86, "اندیشه پلید تنها به دارنده آن زیان می رساند، ولی سخنان نابهنجار به همه شنوندگان آسیب می رساند.", شارل دو مونتسکیو
87, "آن‌گاه که عشق تورا می‌خواند، به‌راهش گام نه! هرچند راهی پرنشیب. آنگاه که تورا زیر گستره بال‌هایش پناه می‌دهد، تمکین کن! هرچند تیغ پنهانش جانکاه. آن‌گاه که با تو سخن آغاز کند، بدو ایمان آور! حتی اگر آوای او رؤیای شیرینت را درهم‌کوبد، مانند باد شرطه که بوستانی را.", جبران خلیل جبران
88, الماس را جز در قعر زمین نمی توان یافت و حقایق را جز در اعماق فکر نمی توان کشف کرد., مارک تواین
89, "عملی اگر کاشتید، عادتی درو خواهید کرد. عادتی اگر کاشتید، اخلاقی درو خواهید کرد. اخلاقی اگر کاشتید، سرنوشتی درو خواهید کرد.", فرانسوا ولتر
90, من مخالف مراسم پرخرج تشییع‌جنازه هستم. برای انسان باید هنگام تولد عزاداری کرد نه وقتی که از این دنیا می‌رود., شارل دو مونتسکیو
91, "کسانی که شهامت ندارند، همیشه فلسفه ای برای توجیه آن می یابند.", آلبر کامو
92, "عوام، ثروتمندان را محترم می‌دارند و خواص، دانشمندان را", افلاطون
93, "نوع دوستی، سرچشمه مهم معنا برای روان درمانگران و البته همه متخصصانی است که نه تنها خود را وقف کمک به رشد بیماران می کنند، بلکه معتقدند رشد یک بیمار، موج کوچکی می آفریند تا کسانی که با زندگی همان یک نفر تماس دارند، با خود همراه کند و فایده بخشد. این تاثیر زمانی بیشتر از همه مشهود است که بیمار بر مسند تاثیر گذاری تکیه زده باشد.علم، پزشک، نویسنده، کارفرما، رییس، مدیر کارکنان و سایر درمانگران)", اروین دیوید یالوم
94, هرگاه بتوانیم بعد از شکست لبخند بزنیم شجاع هستیم., آبراهام لینکلن
95, من از ننگ خویش سخن می‌گویم. باشد که دیگران از ننگ‌هایشان بگویند., برتولت برشت
96, "ما در کتاب‌ها با خردمندان سخن می‌گوییم و در زندگی روزانه با بی‌خردان... بعضی از کتاب‌ها را فقط باید چشید، برخی دیگر را باید یک‌مرتبه بلعید و فقط بعضی کتب نادر هست که باید خوب جوید و هضم کرد.", فرانسیس بیکن
97, "در جهان ذهن، ما ارواحی جدا از جسم و آزاد از قانون و عسرت و اضطراب هستیم. بنابراین در زمین مسرتی وجود ندارد که با آنچه ذهنی والا و پرثمر در لحظه ای فرخنده در خود می یابد برابری کند.", آرتور شوپنهاور
98, "زیرا می‌دانید که خریده شده اید از سیرتِ باطلی که از پدرانِ خود یافته اید نه به چیزهای فانی مثلِ نقره و طلا بلکه به خونِ گران‌بها، چون خونِ برّه‌یِ بی عیب و داغ، یعنی خون مسیح!", عهد جدید
99, "بیشتر مردم علاقه چندانی به آزادی ندارند، چون آزادی مستلزم و در بر گیرنده ی مسئولیت است و بیشتر مردم از مسئولیت واهمه دارند.", زیگموند فروید
100, "زندگی سرد و کسالت بار روزمره باعث می‌شود تا آزادی‌های موجود ناچیز شمرده شوند، اما پس از یورش سلطه غیرمنتظره نظام استبدادی قدر و ارزش آنها دوباره درک می شود و اهمیت آنها در زندگی برای مردم روشن می‌شود.", مانس اشپربر
101, "در طبیعت قانونی نیست که آدمی را به دوست‌داشتن بشریت موظف کند، و اگر تاکنون بر روی زمین عشقی وجود داشته، مربوط به قانون طبیعی نبوده، بلکه به این دلیل بوده که آدمیان به بقا ایمان داشته‌اند.", فئودور داستایوسکی
102, "یونانیان[باستان] به دلیل توانایی‌شان در رویارویی مستقیم با دیوآسایی به جای توسل به دفاع خوداخته‌گرانه‌ی انکار و واپس رانی در انسان امروزی، توانستند به این باور برسند که جوهر فضیلتrête) برای یک انسان آن است که شورمندی‌هایش را مسئولانه برگزیند به جای آنکه به‌وسیله‌ی آنها برگزیده شود.", رولو می
103, "این موضوع اغلب مورد توجه قرار گرفته که سه انقلاب عمده‌ی فکری بشر، ایده‌ی محوریت انسان را تهدید کرده است. اول، کوپرنیک نشان داد که زمین آن مرکزی نیست که همه‌ی اجرام آسمانی، به دورش می‌گردند. بعد داروین روشن کرد که ما کانون زنجیره‌ی حیات نیستیم، بلکه مانند سایر موجودات، از تکامل اَشکال دیگر حیات به وجود آمده‌ایم. سوم، فروید نشان داد که ارباب خانه‌ی خودمان نیستیم؛ به این معنا که بیشتر رفتار ما تابع نیروهای خارج از آگاهی ماست. شکی نیست که آرتور شوپنهاور در این انقلاب فکری، نقشی برابر با فروید داشت ولی هرگز به تأثیر او اذعان نشد، زیرا شوپنهاور مدتها پیش از تولد فروید، فرض را بر این قرار داده بود که نیروهای زیست شناختی ژرفی بر ما حاکمند ولی ما خود را فریب می‌دهیم و فکر می کنیم خودمان آگاهانه فعالیت‌هایمان را برمی‌گزینیم.", اروین دیوید یالوم
104, "روح آدمی نامیراست، اما ارواح صالحان نامیرا و الهی هستند.", سقراط
105, آگاهی تمام عیار از خطر - یا دلمشغولی مدام به آن - خطری بزرگ‌تر از همه خطرهایی است که ما را تهدید می‌کنند. حرف من این نیست که ما در جهانی زندگی می‌کنیم که آکنده از خطر نیست. مثلا کاملا روشن است که گرم شدن زمین می‌تواند پیامدهای بسیار هولناکی برای تمامی کره زمین داشته باشد. در بسیاری از شهرهای بزرگ افراد در زمان های معینی از شبانه روز باید از رفت‌و‌آمد در برخی از ناحیه‌های شهر بپرهیزند. چون با این خطر مواجه هستند که مورد حمله قرار گیرند و احتمال آن هم کم نیست؛ و باید در موقع رد شدن از جاده و خیابان حتما به دو طرف آن نگاه کرد و مواظب بود. پدیده‌های گوناگونی هستند که باید مراقبشان باشیم  و از آنها بترسیم. اما مساله اینجاست که به نظر می‌رسد ما همه چیز را از منظر ترس می‌بینیم., لارس اسوندسن
106, "سرنوشت خود را در کنترل خویش بگیر، وگرنه دیگری اینکار را خواهد کرد.", جک ولش
107, سر پیری رادیکال بودن بالاترین حد دیوانگی است., یوهان ولفگانگ گوته
108, من دوست دارم فقیر زندگی کنم[...]ولی با پول فراوان., پابلو پیکاسو
109, "آنکس که امید به پیروزی در ستیزه ای را ندارد یا آشکارا در حال شکست است، می خواهد هر چه بیشتر شیوه ی ستیزش دیگران را به شگفتی وادارد.", فردریش نیچه
110, "ماکیاولی اطمینان زیادی به توانایی شهریار برای حکومت کردن از طریق ترسی دارد که ناشی از قدرت او برای اعمال قهر و خشونت به اتباعش است. هابز با ماکیاولی هم‌عقیده نیست و فکر نمی‌کند فرمانفرما بتواند تنها با کمک ترس حکومت کند. در نظر هابز، اتباع هم باید از خودشان اشتیاقی به تسلیم و تبعیت نشان دهند، چون به نفع آنان است. بنابراین، ترس سیاسی صرفا چیزی نیست که از بالا بر شهروندان تحمیل شود. به‌عکس، ترس سیاسی یک فرایند جمعی است که هم شامل اشتیاق و آمادگی افراد می شود و هم شامل نهادهایی اجتماعی نظیر کلیسا است. افراد همدیگر را می‌پایندو اعمال همدیگر را رصد می‌کنند و به همدیگر درباره عواقب برهم زدن نظم اجتماعی هشدار می‌دهد. حکومت جبارانه - یعنی همان حکومتی که هابز از آن دفاع می‌کند - نمی‌تواند دوام بیاورد مگر اینکه همه شهروندان آگاه باشند که دیگر شهروندان آنان را می‌پایند و اعمالشان را رصد می‌کنند و می‌توانند آنها را به حکومت لو دهند.", لارس اسوندسن
111, "محبت بالغانه از غنای فرد ناشی می‌شود، نه از تهیدستی اش. از رشد ناشی می‌شود نه از نیاز. فرد عشق نمی‌ورزد چون نیاز به وجود دیگری دارد، نیاز به کامل بودن دارد و نیازمند فرار از تنهایی است. فردی که بالغانه عشق می‌ورزد، این نیازها را در جایی دیگر و به شیوه ای دیگر مثلا با عشق مادرانه که در مراحل ابتدایی زندگی بر او جاری شده، برآورده کرده است. بنابراین عشق پیشین سرچشمه قدرت است و عشق کنونی زاییده قدرت.", اروین دیوید یالوم
112, بهترین راه زندگی پرافتخار در این دنیا آنست که همان چیزی باشیم که وانمود می کنیم هستیم., سقراط
113, "خطای رایجی است که مردم عشق را بالاتر از دوستی می نشانند و آن را در حکم امری کاملا متفاوت می نگرند. عشق تنها زمانی والا و ارزشمند است که دربر دارنده دوستی ای باشد که بتواند بازتولید شود. با عشق به شیوه معمول، اگر به دوستی منجر نشود فقط می توان لقمه بخور و نمیری به زندگی داد و دست به سرش کرد.", برتولت برشت
114, مطالعه یگانه راهی است برای آشنائی و گفتگو بابزرگان ِ روزگار که قرن‌ها پیش از این در دنیا بسر برده و اکنون در زیر خاک منزل دارند., رنه دکارت
115, "زندگی خوب، زندگی شاد است. البته قصد من این نیست که اگر شما خوب باشید حتما شاد خواهید بود. منظور من این است که اگر شما شاد باشید خوب زندگی خواهید کرد.", برتراند راسل
116, "جنگ چنان بی عدالتی ای است که همه ی آنهایی که آن را به راه می اندازند، می بایست صدای وجدان را در درون خود خفه کرده باشند.", لئو تولستوی
117, "آنچه به بشر امکان زندگی می دهد، تنها عمل است.", ژان پل سارتر
